Dayname,Date,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,Grade,Sleep,WorkHours
Friday,1/1/2021,10,1,1,1,1,1,1,2,17,6,12,11,11,11,11,11,13,2,11,"11,5",17,15,10,1,-2,7,0
Saturday,1/2/2021,1,1,1,1,1,1,1,1,2,11,10,11,12,12,12,12,12,12,12,12,17,9,9,9,-4,8,0
Sunday,1/3/2021,9,5,5,10,1,1,1,1,1,1,2,17,21,13,13,13,21,2,5,6,3,3,21,7,-5,6,5
Monday,1/4/2021,7,7,1,1,1,1,1,2,4,4,4,2,17,13,13,13,5,5,5,21,9,9,9,1,-6,6,6
Tuesday,1/5/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,21,5,5,21,21,3,3,9,15,-5,6,12
Wednesday,1/6/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,11,11,11,15,5,9,9,9,9,-6,6,9
Thursday,1/7/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,2,5,3,9,9,9,10,10,-5,6,11
Friday,1/8/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,"17,1",4,13,2,13,13,16,21,9,9,9,-5,6,7
Saturday,1/9/2021,17,1,1,1,1,1,1,1,1,10,2,9,9,9,9,9,"17,1",2,"17,1","17,1","17,1",21,21,7,-5,8,0
Sunday,1/10/2021,7,7,1,1,1,1,1,1,1,2,9,13,16,13,2,15,9,9,2,6,5,10,"11,5","11,5",-4,7,1
Monday,1/11/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,2,5,10,16,15,5,10,10,7,-4,6,10
Tuesday,1/12/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,13,13,2,7,15,3,3,"11,5",3,-5,6,11
Wednesday,1/13/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,2,10,5,10,16,5,10,7,1,-5,7,10
Thursday,1/14/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,11,11,11,10,10,3,3,7,1,-6,7,10
Friday,1/15/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,10,2,13,13,15,9,9,9,9,-5,6,8
Saturday,1/16/2021,7,9,1,1,1,1,1,1,1,1,1,9,9,11,9,9,16,3,11,11,11,11,11,3,-6,9,2
Sunday,1/17/2021,3,3,9,1,1,1,1,1,1,1,1,2,9,9,9,9,9,5,21,21,9,9,9,7,-4,8,3
Monday,1/18/2021,1,1,1,1,1,1,1,1,1,1,2,21,5,17,16,13,2,17,5,5,3,3,7,7,-4,10,5
Tuesday,1/19/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,2,10,"11,5",16,3,3,21,10,-5,6,11
Wednesday,1/20/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,2,10,16,13,10,3,5,10,1,-5,7,10
Thursday,1/21/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,13,13,13,2,10,3,3,21,7,-5,6,10
Friday,1/22/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,2,15,10,16,10,21,21,7,1,-5,7,8
Saturday,1/23/2021,1,1,1,1,1,1,1,1,1,1,2,3,3,17,5,5,7,5,2,7,9,9,9,9,-4,10,5
Sunday,1/24/2021,9,10,7,1,1,1,1,1,1,1,2,5,5,5,5,5,5,5,5,5,5,9,7,10,-1,7,10
Monday,1/25/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,7,5,"11,5",5,7,7,10,9,7,-4,6,10
Tuesday,1/26/2021,1,1,1,1,1,1,1,1,2,17,4,4,4,2,7,3,3,9,9,9,"11,5",17,"11,5",10,-5,8,5
Wednesday,1/27/2021,1,"1,0",1,1,1,1,1,1,2,4,4,4,4,4,2,9,3,3,5,10,10,9,9,9,-3,8,8
Thursday,1/28/2021,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,11,10,11,9,10,9,9,9,9,-4,7,7
Friday,1/29/2021,9,1,1,1,1,1,1,1,1,2,4,3,3,9,9,21,2,10,5,10,10,3,21,7,-5,8,5
Saturday,1/30/2021,1,1,1,1,1,1,1,1,1,2,9,9,9,9,3,9,9,21,9,"17,1","17,1","17,1","17,1","17,1",-4,9,1
Sunday,1/31/2021,7,7,7,1,1,1,1,1,1,1,1,2,9,9,3,10,7,2,3,3,5,"17,1","17,1","17,1",-4,8,4
Monday,2/1/2021,10,10,10,1,1,1,1,1,2,4,4,4,4,"17,1","17,1",9,9,9,9,"7,5","7,5",7,7,7,-5,5,4
Tuesday,2/2/2021,7,"11,5",1,1,1,1,1,1,2,4,4,4,4,4,9,16,3,7,7,10,10,7,7,7,-5,6,6
Wednesday,2/3/2021,7,7,1,1,1,1,1,1,2,4,4,4,4,4,3,3,9,9,9,17,10,7,7,10,-5,6,7
Thursday,2/4/2021,1,1,1,1,1,1,1,1,2,4,4,4,4,3,10,10,10,5,7,1,1,1,1,1,-4,13,6
Friday,2/5/2021,1,7,7,7,1,1,1,1,1,1,2,9,9,9,9,9,9,3,"11,5",9,9,9,9,"7,5",-6,7,1
Saturday,2/6/2021,"7,5",1,1,1,1,1,1,1,1,1,2,9,3,3,"11,5",10,13,13,13,9,9,9,5,5,-4,9,4
Sunday,2/7/2021,10,1,1,1,1,1,1,1,1,1,2,9,3,"11,5",10,3,9,9,5,5,10,15,"7,5","7,5",-4,9,4
Monday,2/8/2021,7,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,15,15,"17,1","17,1","17,1","17,1","11,5",-4,5,10
Tuesday,2/9/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,13,2,10,5,3,1,1,1,1,-4,10,10
Wednesday,2/10/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,13,13,2,17,17,5,5,10,10,-4,6,10
Thursday,2/11/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,16,16,13,2,10,9,5,9,9,-4,6,9
Friday,2/12/2021,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,16,16,2,9,9,9,9,9,"11,5",-5,6,8
